YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1922,-5.04,-2.66,1.99,7.25,15.98,18.74,21.61,20.42,18.23,11.15,5.52,-1.6,-2.93,8.41,20.26,11.63,9.34
1923,-3.83,-6.27,-1.36,4.81,11.83,18.64,21.46,19.87,17.38,10.29,4.57,3.25,-3.9,5.09,19.99,10.75,7.98
1924,-4.33,-5.86,-0.26,5.15,9.38,17.23,20.21,20.23,14.83,11.65,4.32,-3.65,-2.31,4.76,19.22,10.27,7.98
1925,-5.84,-0.62,2.29,7.16,9.72,19.24,20.25,21.13,17.13,6.25,3.67,-2.55,-3.37,6.39,20.21,9.02,8.06
1926,-3.89,-5.57,-2.66,1.81,10.33,15.39,20.25,20.67,16.48,9.75,4.22,-3.7,-4,3.16,18.77,10.15,7.02
1927,-5.04,-1.42,2.53,6.16,11.98,15.74,20.55,18.33,18.27,12.85,6.02,-0.86,-3.39,6.89,18.21,12.38,8.52
1928,-3.3,-3.68,-0.76,4.29,11.42,16.78,21.1,22.02,15.17,11.89,5.16,0.88,-2.61,4.98,19.97,10.74,8.27
1929,-4.75,-5.28,3.58,6.65,11.86,17.88,999.9,18.88,17.42,9.83,3.73,-2.47,-3.05,7.36,19.01,10.33,8.41
1930,-3.97,-1.47,-0.97,5.38,12.48,18.83,20.63,20.53,18.42,10.88,6.08,-1.38,-2.64,5.63,20,11.79,8.7
1931,-3.48,-2.58,0.42,7.42,13.22,18.97,22.52,21.37,19.27,13.27,8.91,2.07,-2.48,7.02,20.95,13.82,9.83
1932,2.97,-0.28,-1.83,4.47,11.87,18.27,19.57,21.07,17.66,12.07,3.17,0.21,1.59,4.84,19.64,10.97,9.26
1933,1.56,-2.44,-0.49,7.26,13.4,19.61,22.16,20.56,18.15,10.36,1.35,-2.59,-0.22,6.72,20.78,9.95,9.31
1934,-2.39,-11.19,-1.79,6.06,13.86,19.96,22.21,19.51,18.86,10.31,6.46,-2.5,-5.39,6.04,20.56,11.88,8.27
1935,-4.44,-4.5,2.44,5.1,9.8,17.64,23.25,21.35,15.45,11,5.2,-4.16,-3.81,5.78,20.75,10.55,8.32
1936,-4.85,-7.41,1.79,4.09,11.99,18.63,21.89,21.04,17.54,10.99,1.79,1.08,-5.47,5.96,20.52,10.11,7.78
1937,0.29,-1.76,-2.21,6.24,12.94,18.54,21.74,23.04,16.38,8.98,4.19,-2.17,-0.13,5.66,21.11,9.85,9.12
1938,-4.11,-1.87,3.33,7.58,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-2.72,8.62,999.9,999.9,999.9
1939,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1940,-8.38,-4.64,-3.09,4.88,12.82,17.97,21.24,20.25,15.26,8.34,3.6,0.11,-5.57,4.87,19.82,9.07,7.05
1941,-4.35,-5.07,-2.95,9.71,13.64,19.92,22.41,19.24,18.01,11.36,6.15,0.75,-3.1,6.8,20.52,11.84,9.01
1942,-4.33,-6.49,2.21,9.42,14.9,19.5,20.92,20.24,16.58,11.55,4.69,-3.65,-3.36,8.84,20.22,10.94,9.16
1943,-5.55,-3.12,-0.35,3.23,12.43,20.51,22.07,20.48,16.1,9.19,3.11,-2.94,-4.11,5.1,21.02,9.47,7.87
1944,-1.09,-3.81,-0.74,5.07,17.45,19.54,22.5,22.56,17.47,10.29,5.62,-3.62,-2.61,7.26,21.53,11.13,9.33
1945,-8.73,-3.08,6.9,9.89,10.44,17.81,21.28,21.34,17.92,9.93,5.08,-4.7,-5.14,9.08,20.14,10.98,8.76
1946,-2.68,-4.04,6.86,6.96,12.85,17.86,21.87,18.88,18.03,13.73,6.85,-0.26,-3.81,8.89,19.54,12.87,9.37
1947,-1.24,-5.76,-1.2,6.33,11.63,18.82,20.39,24.06,17.8,15.51,3.36,-2.04,-2.42,5.59,21.09,12.22,9.12
1948,-7.42,-3.71,1.55,9.26,11.84,18.44,22.3,21.28,18.3,9.78,8.42,0.23,-4.39,7.55,20.67,12.17,9
1949,-0.39,-0.14,0.94,7.51,14.28,22.35,23.52,22.04,14.93,13.99,3.36,0.73,-0.1,7.58,22.64,10.76,10.22
1950,1.38,-3.98,-2.06,4.42,14.03,18.34,20.55,20.33,15.96,12.61,3.88,-2.71,-0.62,5.46,19.74,10.82,8.85
1951,-1.94,-2.54,1.82,7.22,14.07,19.05,21.29,20.26,16.26,12.53,1.29,-0.79,-2.4,7.7,20.2,10.03,8.88
1952,-1.96,-1.6,0.82,8.97,12.15,19.61,23.48,21.16,17.29,8.06,6.06,0.7,-1.45,7.31,21.42,10.47,9.44
1953,-0.38,-0.77,2.53,6.63,13.52,19.72,22.01,21.34,17.19,12.39,6.6,1.39,-0.15,7.56,21.02,12.06,10.12
1954,-4.77,0.55,0.45,8.51,12.46,20.08,20.88,19.37,16.77,12.14,5.35,-1.86,-0.94,7.14,20.11,11.42,9.43
1955,-4.03,-2.32,0.98,10.55,15.18,19.33,24.44,23.19,16.66,12.22,3.69,-3.84,-2.74,8.9,22.32,10.86,9.84
1956,-4.14,-2.11,-0.83,6.1,11.66,19.05,20.48,20.49,14.94,12.9,5.5,1.19,-3.36,5.64,20.01,11.11,8.35
1957,-6.38,-0.72,2.13,9.29,12.6,20.59,20.94,19.55,16.85,10,4.88,1.51,-1.97,8.01,20.36,10.58,9.24
1958,-3.86,-6.49,1.36,8.94,12.16,16.59,21.76,20.41,16.67,11.18,5.41,-5.48,-2.95,7.49,19.59,11.09,8.8
1959,-5.46,-4.37,-0.63,7.72,15.6,19.29,22.61,23.72,19.3,11.39,3.63,0.13,-5.1,7.56,21.87,11.44,8.94
1960,-3.13,-2.69,-4.42,9.05,14.44,18.71,20.56,999.9,999.9,999.9,999.9,999.9,-1.9,6.36,19.81,999.9,8.79
1961,-7.24,-2.78,1.48,4.6,11.99,17.72,21.25,21.14,20.58,12.74,5.14,-0.99,-4.07,6.02,20.04,12.82,8.7
1962,-4.98,-5.68,0.52,7.43,16.31,18.56,20.39,20.31,15.01,11.11,3.1,-3.59,-3.88,8.09,19.75,9.74,8.42
1963,-7.01,-7.06,2.14,7.04,11.83,19.57,21.48,18.2,14.19,14.22,6.72,-4.52,-5.89,7,19.75,11.71,8.14
1964,-1.24,-4.49,1.36,8.55,15.38,18.98,23.08,18.55,16.29,9.17,5.88,-1.15,-3.42,8.43,20.2,10.45,8.92
1965,-4.41,-3.2,-0.9,5.38,15.6,18.17,19.99,20.16,17.74,9.04,4.69,1.5,-2.92,6.69,19.44,10.49,8.43
1966,-6.17,-3.68,1.75,6.5,11.45,19.88,22.16,20.53,15.09,9.59,5.5,-1.69,-2.78,6.57,20.86,10.06,8.67
1967,-0.98,-6.12,-0.34,8.07,10.26,22.72,22.01,20.3,16.18,11.31,2.65,0.81,-2.93,6,21.68,10.05,8.7
1968,-6.52,-6.07,2.27,9.78,12.12,18.44,22.03,21,19.16,12.15,5.03,-2.69,-3.93,8.06,20.49,12.11,9.18
1969,-3.65,-3.86,-0.37,8.42,12.64,18.19,21.61,21.96,16.99,10.78,4.19,-3.81,-3.4,6.9,20.59,10.65,8.68
1970,-7.77,-3.81,-0.87,8.51,14.28,19.11,21.85,21.41,18,12.72,5.58,-2.37,-5.13,7.31,20.79,12.1,8.77
1971,-5.97,-2.58,-1.01,5.64,12.74,19.99,20.63,20.1,18.8,15.06,4.16,1.03,-3.64,5.79,20.24,12.67,8.77
1972,-3.42,-5.33,-0.82,5.29,15.29,17.23,21.89,20.04,17.33,8.11,2.45,-0.47,-2.57,6.59,19.72,9.3,8.26
1973,-2.26,-4.86,5.95,8.47,12.69,20.28,22.56,22.3,16.69,12.6,5.1,-1.45,-2.53,9.04,21.71,11.46,9.92
1974,-2.53,-5.17,0.72,8.09,11.95,18.84,21.27,21.25,15.5,9.73,4.76,0.04,-3.05,6.92,20.45,10,8.58
1975,-0.89,-1.43,-0.46,4.28,16.88,20.17,22.59,21.16,14.78,11.87,8.46,-1.91,-0.76,6.9,21.31,11.7,9.79
1976,-6.65,0.09,3.1,8.26,12.09,20.39,20.09,19.9,15.8,8.12,1.36,-5.4,-2.82,7.82,20.13,8.43,8.39
1977,-9.91,-3.9,4.53,8.5,15.88,18.19,22.4,20.22,17.17,9.94,6.44,-2.11,-6.4,9.64,20.27,11.18,8.67
1978,-6.25,-8.98,-1.9,6,14.31,18.59,21.51,21.44,16.18,9.92,4.81,-0.72,-5.78,6.14,20.51,10.3,7.79
1979,-6.21,-9.36,3.62,7.01,13.99,19.36,22,19.89,16.79,10.56,6.57,0.92,-5.43,8.21,20.42,11.31,8.62
1980,-3.27,-5.86,0.07,8.01,14.64,16.74,22.18,22.74,17.05,9.29,4.09,-3.71,-2.74,7.57,20.55,10.14,8.88
1981,-7.09,0.49,1.02,8.42,13.55,19.01,22.1,21.06,16.01,8.99,4.65,-1.69,-3.44,7.66,20.72,9.88,8.71
1982,-8.27,-4.9,0.23,5.29,16.09,16.73,22.07,18.31,16.43,11.4,6.05,3,-4.95,7.2,19.04,11.29,8.14
